Processing Check,Result
Original daily records loaded,4192
Unique SCATS sites,40
Recorded location/direction entries,139
15-minute traffic volume columns,96
Missing traffic-flow values,0
Invalid non-numeric traffic-flow values,0
Negative traffic-flow values,0
Duplicate original daily records,0
Duplicate site-location-timestamp records (post-reshape),2976
Duplicate resolution method,averaged
Time-series records created (after deduplication),399456
Normalisation fitted using training data only,Yes
Training traffic minimum used for scaling,0.0
Training traffic maximum used for scaling,636.0
Note: val/test scaled values may exceed 1.0,Expected — val/test max flow can exceed training max
Sequence window length used for demonstration,12 intervals (3 hours)
Sequences restart at midnight,No — continuous within each split/site/location group
