Processing Check,Result
Original daily records loaded,4192
Unique SCATS sites,40
Recorded location/direction entries,139
15-minute traffic volume columns,96
Missing traffic-flow values,0
Invalid non-numeric traffic-flow values,0
Negative traffic-flow values,0
Duplicate original daily records,0
Time-series records created,402432
Duplicate site-location-timestamp records,2976
Normalisation fitted using training data only,Yes
Training traffic minimum used for scaling,0.0
Training traffic maximum used for scaling,636.0
Sequence window length used for demonstration,12 intervals (3 hours)
